schema,table,size
bizops,guarantee_revenue_20190723,35647
datalake_backfill_test,threat_metrix,25310
risk,chargebacks_before_2017,14656
datalake_backfill_test,billing_to_recipients_whitepages_identity_check,14525
datalake_backfill_test,investigations,14081
risk,temp_lenovo_transformed_20180401_20190501,13312
datalake_backfill_test,transactions,13184
datalake_backfill_test,recipients,11074
datalagoon,billing_to_recipients_whitepages_identity_check_staging_2019_09_29_234500,10752
risk,temp_sw_lenvo_201904,10304
risk,temp_sw_lenvo_20180401_20190501,10304
risk,temp_pl_samsung_rolling_30days_20190611,7808
datalagoon,investigations_staging_2019_09_29_234500,7744
salesforce,sf_account_bkp_20190809,7360
datalake_backfill_test,chargebacks,6912
risk,temp_ac_walmartmx_rawdata_2018_item_cons_analysis,6336
datalagoon,threat_metrix_staging_2019_09_29_234500,5952
risk,pb_jun2018_wish_all_emails_txn_hist,5260
risk,temp_dr_base_for_bin_check_20190723,4928
datalake_backfill_test,browser_ip,4736
risk,temp_ac_walmartmx_rawdata_2018_item_cons,4736
risk,temp_dr_wish_emailsorderdate_20190722,4288
datalake_backfill_test,products,4124
risk,chargebacks_before_2017_history_emails,3968
risk,chargebacks_before_2017_history_dev,3840
risk,pb_wish2017_chargeback_classification,3328
risk,pb_may2018_wish_all_emails_txn_hist,3245
risk,chargeback_classification_2016,3200
public,reversals_20190716,3024
bizops,reversals_20190701,3008
bizops,reversals_20190628,3008
bizops,reversals_20190628_3,3008
bizops,reversals_20190628_2,3008
risk,tmp_chargeback_classification_variables_2016,2944
risk,pb_apr2018_wish_all_emails_txn_hist,2688
risk,losses_20190612_20190712,2560
data_processed,blacklist_whitelist_delivery_address_temp,2542
risk,pb_wish2018_chargeback_classification,2496
risk,pb_mar2018_wish_all_emails_txn_hist,2368
risk,chargeback_emails_txhistory_2016,2307
risk,chargeback_phones_txhistory_2016,2304
risk,tmp_all_txn_history_from_chargeback_phones_2_2016,2176
risk,tmp_all_txn_history_from_chargeback_phones_1_2016,2176
risk,pb_feb2018_wish_all_emails_txn_hist,2176
risk,temp_ac_walmartmx_features_simulation_7262019,2176
risk,temp_ac_walmartmx_rawdata_2018_item,2176
risk,pb_jan2018_wish_all_emails_txn_hist,2151
datalake_backfill_test,pipl_address,2048
bizops,gainsight_guarantees_temp,2048
risk,pb_wish2018_chargeback_emails_txhistory,1920
risk,temp_dr_samsung_177_drop_20190926,1920
salesforce,sf_opportunity_line_item_temp,1920
risk,pb_wish2017_chargeback_emails_txhistory,1920
risk,qs_wish_ebanx_feb_orders_20190807,1856
risk,qs_wish_ebanx_dec_orders_20190807,1856
risk,temp_ac_walmartmx_rawdata_2018,1856
risk,temp_ac_walmartmx_rawdata_05212019,1856
datalagoon,recipient_searchable_locations_staging_2019_09_29_234500,1792
risk,pb_jul2018_wish_all_emails_txn_hist,1728
datalake_backfill_test,pipl_name,1664
datalake_backfill_test,fulfillments,1600
risk,temp_ac_ssense_perf_20190128_uniqueorder,1536
risk,temp_ac_ssense_perf_20180823_uniqueorder,1536
risk,temp_ac_ssense_perf_20181207_uniqueorder,1536
risk,temp_ac_ssense_perf_20190411_uniqueorder,1536
datalake_backfill_test,pipl_job,1536
risk,temp_ac_ssense_perf_20190320_uniqueorder,1536
datalake_backfill_test,pipl_phone,1536
risk,temp_dr_lenovo_20190830,1472
risk,temp_dr_ebay_20190624_no_peek,1472
risk,temp_dr_ebay_20190624,1472
billing,recurly_invoice_temp,1408
datalake_backfill_test,pipl_person,1408
datalake_backfill_test,pipl_education,1408
data_sources,claims_batch_decisions_temp,1364
billing,recurly_transaction_temp,1280
datalake_backfill_test,shipments,1280
risk,temp_dr_ebay_20190624_more_fields,1280
risk,temp_dr_cp_features_201909050,1280
risk,temp_dr_cp_features_20190905,1280
data_processed,blacklist_whitelist_email_temp,1216
data_sources,get_recurly_charge_201904_test_new,1216
risk,threshold_config_analytics_06062017,1152
risk,threshold_config_analytics_06262017_for_thresh,1152
risk,threshold_config_analytics_08152017,1152
risk,threshold_config_analytics_06262017,1152
datalake_backfill_test,pipl_language,1152
data_sources,get_recurly_charge_201904_test_old,1088
datalagoon,recipients_staging_2019_09_29_234500,1088
datalake_backfill_test,pipl_image,1024
data_processed,plugin_authentications_temp,1024
risk,temp_pl_samsung_historical_2017_2019,1024
risk,mr_chargebacks_test,960
data_processed,manual_review_escalations_temp,960
datalagoon,bindb_staging_2019_09_29_234500,960
risk,tmp_chargeback_ratio_phones_2016,896
risk,tmp_good_devices_emails_2016,896
datalake_backfill_test,pipl_user_id,896
risk,qs_wish_related_cb_20190809,896
risk,tmp_good_ipaddresses_emails_2016,896
risk,temp_ac_samsung_dr_decisions_05102019,896
risk,tmp_good_devices_phones_2016,896
risk,tmp_chargeback_ratio_emails_2016,896
